Achievements Name,実績日本語名,国家タグ,難易度,DLC,達成条件,日本語Wiki補足説明,英語Wiki補足説明,英語Wikiリンク
No country for old men,ノーカントリー,,Very Easy,Base,徴兵法で「根こそぎ動員」を選び人的資源を0になるまで使い切る,元ネタは圧倒的な暴力描写が絶賛された、コーエン兄弟監督の映画作品『No Country for Old Men（日本語題名：ノーカントリー）』,史実モードでは、ルクセンブルクとして開始し、一切行動を起こさない。政治力を750以上貯める。ドイツが宣戦布告してきたら、必ず連合国側に加わる。師団を保有していないため、ドイツ軍はほぼ即座に降伏する。降伏後、徴兵法を「底を突く」に変更すれば、実績が解除される。,

Poland Can Into Space,ポーランドは宇宙に行けるよ,POL,Easy,Base,ポーランドで、全てのロケット・エンジンを研究する,元はポーランドボール定番ネタの「Poland Cannot Into Space」。EU4などにも同名の実績がある。,戦争を回避し研究に専念するため、領土を割譲せよ。たとえドイツやソビエト連邦に占領・征服されても、イギリスに亡命政府を置いた状態でゲームを継続でき、実績獲得の資格は維持される。連合国が存続している限り、研究を続けて実績を獲得できる。,

True Blitzkrieg,真の電撃戦,GER,Medium,Base,1940年1月1日までにポーランド、フランスを降伏させる,史実におけるポーランド降伏は1939年9月28日、フランス降伏は1940年6月22日,"両国は降伏させるか併合する必要がある。
いずれの国も傀儡国家にしてはならない。",https://hoi4.paradoxwikis.com/True_Blitzkrieg

Northern Light,北極光,DEN / FIN / NOR / SWE,Very Easy,Base,北欧諸国で陣営を作り、デンマーク、ノルウェー、スウェーデン、フィンランドを所属させる。,,史実モードではフィンランドとしてプレイせよ。世界緊張度が50%に達するのを待ち、国家目標「北方防衛戦線」を発動せよ。これにより派閥が結成され、他のスカンディナヴィア諸国が招致される。AI勢力は既に派閥に属していない場合、これに参加するはずだ。,

Nobody expects...,まさかの時の,SPR,Medium,Base,ファシスト・スペインでドイツの陣営に入りパリを占領する。,元ネタはイギリスのコメディグループ、「モンティ・パイソン」のスケッチ、「スペイン宗教裁判」。,国民戦線を統一する道を進み、内戦に勝利した後、枢軸国への参加を目指す。ドイツがベネルクスを攻撃したら戦争に参加し、ドイツがイル・ド・フランス（16）の支配権を譲渡するだけの十分な戦争スコアを獲得する。,

The bell tolls for us,我らが為に鐘は鳴る,SPR,Medium,Base,スペイン内戦を民主主義か共産主義の政権で勝利する,ヘミングウェイのスペイン内戦を舞台とした小説「誰がために鐘は鳴る」より,たとえ内戦が終結していなくても、共和派として内戦の他の派閥（アナキスト／ファシスト／カルリスト）のいずれかを降伏させれば、実績が解除される。,

The Revolution Triumphant,革命の凱旋,SOV,Medium,Base,"ソ連で、ドイツを傀儡化する
（東西ドイツはカウントしない。『ドイツ』タグでの傀儡化が必要） ",,歴史的なルートに従うか、あるいは直ちにポーランド、そしてドイツに宣戦布告する。 ,

Once More Mate,繰り返す片割れ,AST,Medium,Base,オーストラリアで、ガリポリ（イスタンブール）を占領する,ガリポリ上陸作戦（ダーダネルス戦役）から,トルコがボスポラス海峡を再軍備化する前に、艦隊を黒海へ移動させる必要がある。キプロスに拠点を置けば行動範囲を拡大できる。「労働者を強化せよ」ルートを進み、コミンテルン加盟を目指せ。トルコに対する戦争目標を正当化し、ソビエト連邦から攻撃を仕掛けよ。トルコはイスタンブールを防衛するが、エディルネは無防備となる。彼らを戦争に招き入れ、エディルネ（341）へ海上侵攻せよ。この実績は国家支配のみを要求するため、交戦中でも達成可能である。,

Forge of Victory,勝利の鉄工所,BEL,Very Easy,Base,ベルギーで、50以上の工場を持つ,, 海軍造船所は工場総数に算入される。ファシスト体制を採用し、オランダとルクセンブルクを征服すればよい。連合国と交戦状態になっても心配無用。単に枢軸国に加盟すればよい。ドイツが自国領土を経由してフランスに侵攻し降伏させた時点で、フランス全土を占領することになる。これにより必要な工場を確保できる。,

Sunset Invasion,サンセット・インベーション,MEX,Very Hard,Base,メキシコでヨーロッパの海岸を1州占領する。南アメリカ以外の同盟や傀儡は禁止。(枢軸とかはいると失敗する) ,同名のCK2DLCより。なお内容はハイパーアステカがヨーロッパに攻めてくるトンチキDLC ,国家を占領するだけでよい。ファシストに転向し、デンマークを正当化せよ。潜水艦を約10隻建造し、宣戦布告する。グリーンランドの港湾を占領した後、アイスランドに侵攻せよ。南米以外の国々と同盟を結んではならないことに留意せよ。,

Duce Nuked'em,ドゥーチェ・ニュークドム,ITA,Very Hard,Base,ファシスト・イタリアで、ロサンゼルスに核を落とす,FPSのDUKE NUKEM（デューク・ニューケム）より,地中海を確保した後、ジブラルタル（118）、アゾレス諸島（698）、バミューダ（696）を掌握すれば、1944年式の小型戦略爆撃機部隊（護衛なし）で容易に達成できる。,

Operation Sea Lion,アシカ作戦,GER,Medium,Base,ドイツで、グレートブリテン島を支配する。ちなみに北アイルランドは占領しなくても良い,元ネタは、史実で計画されたが実行されなかったドイツによるイギリス上陸作戦,「真の電撃戦」ガイドに従えば西ヨーロッパを掌握できる。この時点でヨークシャー（130）とノーサンバーランド（131）への侵攻は容易だろう。英国に関する情報を入手するか、海軍優勢を得るためイタリアを参戦させること。ブリテン諸島の防衛は脆弱であり、安定した港湾橋頭堡を確保すれば制圧は容易である。,

One Empire,一つの帝国,ENG,Medium,Base,イギリスで、世界中全ての国家を、支配下、傀儡国、同盟国のいずれかにする,,この達成には膨大な努力が必要だ。帝国が崩壊するのを防ぎ続けよ。早期にアメリカ合衆国を排除し、その領土をカナダに譲渡して北米自治領を形成せよ。その後、帝国連邦を形成すればアメリカも包含され、特に欧州連邦を形成して欧州を統合した後には、ゲーム内で可能な限り最大級のコア人口を獲得できる。主要国との戦争中は、プロセスを加速させるため可能な限り多くの小国を併合することを正当化せよ。「新世界秩序」と相性が良い。,

Party like it's 1520,1520年のような集まりを,DEN,Hard,Base,コミュニスト・デンマークで、ストックホルムを占領する,元ネタは、1520年にデンマーク王が当時デンマーク領だったスウェーデンの独立派に対し和解しようと言って、誘い出して粛清した「ストックホルムの血浴」という事件,,https://hoi4.paradoxwikis.com/Party_like_it%27s_1520

Med plutonium...,プルトニウムで,SWE,Medium,Base,スウェーデンで、デンマークの中核州に核を落とす,キングダムというデンマークのテレビドラマからのはず、デンマーク人嫌いのスティグ・ヘルマー(なお主役)がバーセベック原子力発電所(放送当時はまだ閉鎖していない)への歓呼(？)の一部から,核攻撃を受けた国家は、デンマークが所有し、かつデンマークの中核でなければならない。『Arms Against Tyranny』を選択した場合、デンマークは降伏する代わりにドイツの傀儡となる。あるいは、リムーザン（25）とグリーンランド（101）もデンマークの中核である。,

The Revenge of Montezuma,モンテスマの復讐,MEX,Hard,Base,"メキシコで、カリフォルニア・ネバダ・ユタ・アリゾナ・ニューメキシコ・テキサスを占領する
占領するだけでok ",元ネタはアタリ社のゲーム作品『Montezuma's Revenge』,急いでファシスト政権を樹立し、フィリピン侵攻を戦争目的として正当化して米国を巻き込む。多数の騎兵師団を訓練し、米国軍の防衛ラインに突破口を開いて包囲作戦を仕掛ける。米国軍は国境全域を十分にカバーできる師団数を確保できていないはずだ。,

Big Entente,大協商,FRA,Easy,Base,フランスで、小協商の国家方針を全て完了し（ポーランドへの独立保障まで）ドイツを小協商内で保有する。（もし政体変更とかされると同盟入らないので実質失敗）,小協商という第一次世界大戦後に成立されたチェコスロバキア、ユーゴスラビア、ルーマニアの同盟を掛けたシャレ,,https://hoi4.paradoxwikis.com/Big_Entente

New World Order,新世界秩序,,Medium,Base,全世界のイデオロギーをファシズムに染める,元ネタはナチスが構想した戦後の新秩序。,,https://hoi4.paradoxwikis.com/New_World_Order

Bearer of Artillery,大砲の持ち手,POL,Very Hard,Base,"国家方針のArtillery_modernisationを取得
中立主義
ソビエトと派閥を組まない(傀儡にするのもダメ)
イタリアと戦争中
Hamadanをコントロールしている(ポーランドかポーランドの同盟国が)
Latium,Abruzzo,Tuscanyのどれかにポーランド兵がいる 
MTTH30dでイベント発生で実績獲得",元ネタは熊のヴォイテク。,,https://hoi4.paradoxwikis.com/Bearer_of_Artillery

Braaaaains!,脳みそォォ！,CAN,Very Easy,TfV,カナダで、国家方針「ゾンビを送れ」を完了する。,元ネタはボーダーランズの脳みそクエスト,歴史的な焦点をプレイし、経済的焦点を急いで達成せよ。ドイツがポーランドに宣戦布告したら、戦争に参加し、国家方針「ゾンビを送れ」に急いで進め。,

District 9,第9地区,SAF,Very Easy,TfV,南アフリカで、トランスヴァールに9つの民需工場を持つ。,元ネタは南アフリカを舞台にした映画『第9地区』,トランスバールで軍事工場を民間工場に転換せよ。無料の民間工場を得るにはフォーカス技術ツリーを進めよ。これらはランダムでトランスバールに必要な工場を提供することがある。建設スロットが不足した場合は、分散型／集中型産業技術ツリーを進め、建設スロットを増やせ。,

Our Words Are Backed With Nuclear Weapons,我らの言葉の裏に核兵器あり,RAJ,Easy,TfV,インドで、国家精神「インドから去れ運動」を持った状態で核攻撃を実行する。,元ネタはターン制シミュレーションゲーム『Civlization』の核をぶっ放しまくるインド,「帝国の墓場」を無効化した状態で、インド独立運動へ向かい、核爆弾を開発・製造・配備せよ（制空権確保のため戦略爆撃機と戦闘機を確保することを忘れずに）。潜在的な標的には、トルコが連合国に加入した後のルーマニア、あるいは日本と連合した後のシャムが含まれる。,

Crusader Kings,クルセイダーキングス,SAF,Medium,TfV,南アフリカで、国家方針「我らに王を」を完了し、エルサレムを占領する。,中世を舞台にしたパラド開発のゲーム『Crusader Kings』,,https://hoi4.paradoxwikis.com/Crusader_Kings

Crusader Kings 2,クルセイダーキングス 2,SAF,Insane,TfV,南アフリカで、国家方針「反植民地主義十字軍」を完了した後、アンゴラ・ザイール・ケニヤ・モザンビーク・ボツワナ・ジンバブエをイベントを通して解放あるいは傀儡化、独自の陣営を作りグレーターロンドンを占領する。,"CKシリーズ実績第2段。
元ネタは上記の続編『Crusader Kings II』
hoi4実績の中でも最難関と言われており、英hoi4Wikiのachievementsページでも2022年9月現在最難関のInsaneとされている。",国々は占領地域画面から手動で解放するのではなく、イベントを通じて解放される必要がある。,https://hoi4.paradoxwikis.com/Crusader_Kings_2

Rule Britannia,ブリタニアを統べよ,AST / RAJ / CAN / NZL / SAF,Very Hard,TfV,イギリスの従属国で、グレートブリテン島と北アイルランドを占領する。,"元ネタはイギリス第二の国歌『ルール・ブリタニア』
本来の歌詞は「Rule,Britannia!(統べよ！ブリタニア)」だが、カンマ無しの「Rule Britannia」だとそのまま他動詞+目的語として訳し「ブリタニアを支配せよ」という真逆の意味（つまり実績内容と同義）になるという、悪い冗談である。
EU4にも同名のDLCがある。",,https://hoi4.paradoxwikis.com/Rule_Britannia

Cut The Strings,紐を切る,,Easy,TfV,初期の傀儡国で、宗主国から独立する。,"連合国陣営では該当するのはインドと英領マラヤ。他構成国は全て「自治領」であるので対象外。データ集/傀儡の自治システム参照。
他にはフィリピンや蘭印や蒙古国、満州国(要WTT)も該当。",満州国として、独立戦争へ向けた積極路線を突き進め。,

It's 1812 All Over Again,これぞ1812年のやり直し,CAN,Hard,TfV,カナダで、ワシントンD.C.を獲得する。,"元ネタは1812年戦争。
この戦争でイギリス軍にワシントンD.C.は占領され大統領府もろとも焼き討ちされた、この焼かれた議事堂が後にホワイトハウスとなる。",最初の焦点を「祖国愛クラブ」と「卍クラブ」に定める。陣営を切り替えたら「シンアルキスト・バハ」を支援し、メキシコを味方につけて東海岸のアメリカ合衆国を攻撃せよ。,

The weapons of the Third Emu War,第三次エミュー戦争の兵器,AST,Easy,TfV,オーストラリアで、オーストラリアの中核州において核爆弾を使う。,"オーストラリアはエミューの討伐をしようと大規模な軍事行動を二度行っている。
英語圏のネットでは「オーストラリアはエミューと戦争して敗北した」というのが定番のネタである。",戦闘機、戦略爆撃機、核兵器を開発・製造せよ。日本軍の進撃を待ち、彼らが一州を制圧したら、その州を核攻撃せよ。自軍の戦闘機を使用するか、連合軍の支援による制空権確保を待て。,

I Am the Tong Master,我こそトングの使い手,SAF,Easy,TfV,南アフリカで、イギリスから独立し、他の国家を傀儡化する。,南西アフリカが初期から非中核州としてあるので、共産化してから傀儡開放で簡単に達成できる。,ゲーム開始時にナミビアを傀儡として解放せよ。,

The Empire Strikes Back,帝国の逆襲,ENG,Easy,TfV,イギリスで、南アフリカ、カナダ、インド、オーストラリア、ニュージーランド、マレーシアのいずれかの国に宣戦布告する。,『スター・ウォーズ エピソード5/帝国の逆襲』（STAR WARS EPISODE V:THE EMPIRE STRIKES BACK）,「進路変更」分岐下の任意のサブ分岐を選択せよ。ドミニオン諸国はあなたとの同盟を破棄する。単にいずれかに対して宣戦布告すればよい。,

The Puppetmaster,パペットマスター,,Medium,TfV,51以上の従属国を持つ。,"に俺はなる！
ではなく、メタルバンドMetallicaの代表曲「Master of Puppets」が元ネタかと思われる。
Obay your masterという歌詞の意味が「神にひれ伏せ」から「クスリに屈服しろ」に変わる。
英国が起こしたアヘン戦争をひっかけているのでは、と思われる。",共産主義イギリスとしてプレイし、フランスに宣戦布告せよ。可能な限り多くの植民地を傀儡化せよ。その後、フォーカスツリーの「植民地政策の再検討」分岐を進め、多くの被支配民を解放せよ。,

Freegypt,フリージプト！,Egypt,Medium,TfV,イギリスもしくは他の国で、エジプトを解放させ、「解放された国としてプレイ」を選択した後に自治権システムを使って自主独立する。,自由とエジプトを引っ掛けただけ,イギリスとして開始し、エジプトを可能な限り強化せよ。軍事工場で完全に埋まったら、エジプトを傀儡国家として解放する（「プレイ対象」チェックボックスが表示されたら選択）。あらゆる手段で自治権を拡大せよ：貸与法（列車と護送船団が特に有効）、継続的集中、武官派遣。,

Miklos Horthy and the Habsburg Prince,ホルティ・ミクローシュとハプスブルクのプリンス,HUN,Very Hard,DoD,ハンガリーで、オーストリア＝ハンガリーを復興する。,アイコンを見ればすぐに分かるが元ネタは『ハリー・ポッターと謎のプリンス』である（Harry Potter and the Half-Blood Prince）,,https://hoi4.paradoxwikis.com/Miklos_Horthy_and_the_Habsburg_Prince

Better than the Szent Istv?n,セント・イシュトヴァーンより良い,HUN,Easy,DoD,ハンガリーで、ホルティ・ミクローシュを海軍司令官にし戦艦を建造する。,セント・イシュトヴァーンはオーストリア・ハンガリー帝国の弩級戦艦。設計・造船上の問題が祟り、小型水雷艇から発射された魚雷2発（1発とも）で転覆・沈没した。,『神々の黄昏』では、ホルティを顧問として獲得するには「摂政の終焉」を完了する必要があります。そうでない場合は、「ハプスブルク家の王子を招く」を完了する必要があります。その後、「1713年実利主義的勅令の復活」の下にあるいずれかのルートを進み、ユーゴスラビアまたはルーマニアに対する戦争目標を獲得できます。産業と軍隊を強化し、いずれか一方を征服した後、戦艦を開発・配備し、ホルティをその艦隊に配属してください。,

Death or Dishonor or Cake,死か屈辱かケーキか,ROM,Very Hard,DoD,カロル2世が政府首班のルーマニアで、「パーティはお開きの時間だ」「退位を強制」「王の手綱を握る」のいずれも取得していない状態でゲーム開始時に隣接しているすべての国家*2の中核州を最低1つずつ領有する。,カロル2世が国外逃避していた時に即位した息子ミハイ1世（5歳）は、家臣に王であることを告げられた時に「ほんとに？」と言い、本当だと言われるとチョコレートケーキをねだった。,,https://hoi4.paradoxwikis.com/Death_or_Dishonor_or_Cake

Neither Death nor Dishonor,死でも屈辱でもない,ROM,Hard,DoD,ルーマニアで、1942年以降からゲーム終了までに開始時に保持している州を一つも失わず、モスクワかベルリンを占領している。,,,https://hoi4.paradoxwikis.com/Neither_Death_nor_Dishonor

The Munich Disagreement,ミュンヘン不合意,CZE,Medium,DoD,チェコスロヴァキアで、ドイツとの戦争中にミュンヘンを占領する。,ミュンヘン合意の逆,,https://hoi4.paradoxwikis.com/The_Munich_Disagreement

Czechmate,チェッコメイト,CZE,Very Hard,DoD,チェコスロヴァキアで、連合国と戦争中にキャンベラ(オーストラリア首都)を占領する。,チェスの詰みであるチェックメイト（checkmate）を引っ掛けただけ,,https://hoi4.paradoxwikis.com/Czechmate

Huge-oslavia,ヒュージオスラビア,YUG,Very Hard,DoD,ユーゴスラビアで、全隣国（オーストリア、ハンガリー、ルーマニア、ブルガリア、アルバニア、イタリア、ギリシャ）の1936年時点で所有している全ての州を占領する。,そのまま「でかいスラブ」の意味。ユーゴスラビアが南スラブを意味することから。,この実績は州の支配のみを必要とするため、戦争中でも達成可能である。,https://hoi4.paradoxwikis.com/Huge-oslavia

The Balkan Powder Keg,バルカン火薬庫,YUG,Very Easy,DoD,ユーゴスラビアで、枢軸国か連合国に加入してる時に別陣営に宣戦する。,言わずと知れた「ヨーロッパの火薬庫」,,

En Svensk Tiger,エン・スヴェンスク・ティーゲル,SWE,Easy,DoD,スウェーデンで、ドイツからティーガー(1941重戦車)、もしくはティーガー II(1943重戦車)の生産ライセンスを貰う。,"スウェーデン語のtigerには「虎」と「黙る」の2つの意味があり、""En Svensk Tiger""は「スウェーデンの虎」と「スウェーデン人は喋らない」のダブルミーニングになっている。元ネタは第二次大戦中にスウェーデン政府が行った啓発活動のスローガンで、国情をナチスのスパイに漏らすのを防ぐために、虎のマスコットキャラを作っておしゃべりを慎むよう呼び掛けた。
DLCが入っているとドイツがモジュール等の研究に追われ該当重戦車を研究せず取れない場合がある その場合はDLCを全部外してみよう","最初の顧問にファシストの扇動者を選び、ファシスト体制へ移行せよ。可能な限り内戦を回避すること。枢軸国に加盟し、彼らの戦争を支援せよ。ドイツはタイガー戦車の研究完了まで生き延びねばならない――少なくとも1943年末まで。

注：バグのため、「No Step Back」を有効にした状態ではこの実績は取得不可。ドイツはどれだけ待っても「基本重戦車」を超える進歩を遂げないため。",

Lethal Straight,リーサル・ストレート,,Very Easy,DoD,7大国(外交画面での主要国)のうち5国からライセンスを貰う。,ポーカーの役ロイヤル・ストレート,"非同盟国としてプレイすることを推奨します。異なるイデオロギーによる外交ペナルティを回避し、「ライセンス生産を要請」オプションがブロックされるのを防ぐためです。七大国のうち五カ国との関係を改善した後、基本歩兵武器のライセンスを取得してください（次段階の歩兵装備の研究でも同様の効果があります。主要国であっても旧式装備のライセンス取得に問題が生じることは稀です）。
La R?sistanceを使用する場合、エージェントを派遣し、主要国への外交的圧力として活用することも可能です。",

Awake and Angry,覚醒と怒り,CHI,Hard,WtT,中華民国で、全中国と満州を再征服し、日本を降伏させる。,,注：この実績を達成するために、広州湾（728）、マカオ（729）、香港（326）を征服する必要はありません。したがって、連合国と一度も戦争をすることなく達成可能です。,https://hoi4.paradoxwikis.com/Awake_and_Angry

Romance of the Three Kingdoms,三国志,CHI,Easy,WtT,中華民国で、雲南・広西軍閥を傀儡化した後併合する。,"言わずもがな180年～280年頃の中国における魏・呉・蜀の三国時代が元ネタ
中華民国(魏)・広西軍閥(呉)・雲南(蜀)",非歴史モードでプレイし、日本が「皇道派を支援する」方針を選択するよう仕向ける。「諸侯を服従させる」を選択せよ。平和的に受け入れなければ、戦争目標を用いて武力による傀儡化を実施する。広西派旗と雲南派旗が傀儡化された後に表示される「諸侯を統合する」一連の決定を完了させる。あるいは、従来の手法で撃破（場合によっては「一つの中国政策」政策選択後）し、その後、彼らの領土に施設（国境沿いのレベル5砦や補給基地を含む）を建設したり、貸与法による物資を供給したりして自治権を低下させる。達成条件は、戦争で併合した後、傀儡として解放し、再び統合する（和平会議で「傀儡化」が選択できない場合）という方法でも達成可能。,

Sun Tzu Reborn,孫子の再誕,CHI / PRC / GXC / SHX / SIK / XSM / YUN,Hard,WtT,いずれかの中国国家で、レベル9の元帥を誕生させる。,孫子は兵法書『孫子』の著者,中華ソビエト共和国として、日中戦争を回避するため非歴史ルートでプレイ（日本が共産化するのが理想）。首都に9～12個師団を配置して防衛線を構築し、早期に中国に宣戦布告せよ。歩兵装備と砲兵のみを開発せよ（いずれ師団の組織力が枯渇して壊滅する可能性があるため、その前に予備師団を数個配備しておくこと）。AIの攻撃が止んだ場合は、師団を訓練させて攻撃を誘い出せ。元帥より先に将軍がレベル9に達した場合、その将軍を元帥に昇進させれば実績を獲得できる。,

The People Have Stood Up!,人民は立ち上がった！,PRC,Very Hard,WtT,中華人民共和国で、毛沢東を指導者にしたまま国共内戦に勝利する。,「中国人民站起来了（ジョングオ・レンミン・ジャンチライ・ラ）」は1949年に毛沢東が発した有名な建国宣言,,https://hoi4.paradoxwikis.com/The_People_Have_Stood_Up!

Made in China,メイド・イン・チャイナ,PRC,Medium,WtT,中華人民共和国で、100以上の軍需工場を持つ。,,"『民衆が立ち上がった！』のガイドに従い、領土内に軍事工場を数多く建設してください。
注：マップ外に建設した軍事工場はカウントされません。",

Tojo Shot First,東條が先に撃った,JAP,Easy,WtT,日本で、アメリカが核兵器を開発する前に、アメリカの中核州に核を撃ち込む。,"元ネタは映画『スター・ウォーズ』でハン・ソロがグリードを射殺するシーン
「ハンが先に撃った」というフレーズは、このシーンを巡る有名な論議を指すと同時に、議論の結論でもある。",サンライズ侵攻作戦に従え。核兵器を入手したら、アメリカを解放し、彼らと戦争を開始せよ。核を投下する州はアメリカが支配している必要がある。,

Sunrise Invasion,サンライズ・インベーション,JAP,Hard,WtT,日本で、1945年以前にメキシコを征服し、その後ヨーロッパを征服する。,メキシコの実績「サンセット・インベーション」の日出国版,,https://hoi4.paradoxwikis.com/Sunrise_Invasion

The Dragon Swallowed the Sun,日を飲む龍,MAN,Hard,WtT,満州国で、日本から独立し、陣営に所属していない状態で旧宗主国を征服する。,元ネタはチベットの独立運動を追ったアメリカのドキュメンタリー映画『When The Dragon Swallowed The Sun』,注：実績「ドラゴンが太陽を飲み込んだ」の国旗を獲得するには、派閥に所属せずに日本を併合する必要があります。「派閥に所属していない」という条件は、日本が併合された時点でチェックされます。したがって理論上、ゲーム中に派閥に加入することは自由ですが、日本を併合する前に脱退する必要があります。自陣営のメンバーに宣戦布告した場合、和平会議が終わるまで離脱できないことに注意してください。,https://hoi4.paradoxwikis.com/The_Dragon_Swallowed_the_Sun

Hail to the Qing,清朝万歳,MAN,Hard,WtT,満州国で、清朝を復古させる。,元ネタはアメリカのヘビメタバンド、アヴェンジド・セヴンフォールドのアルバム『Hail to the King（ヘイル・トゥ・ザ・キング）』,,https://hoi4.paradoxwikis.com/Hail_to_the_Qing

"The Good, the Bad and the Weird",グッド・バッド・ウィアード,MAN,Medium,WtT,満州国で、すべての州のインフラを最大にし、最低でも15の石油を産出する。,"元ネタは同名の韓国映画。満州を舞台とした韓国版西部劇。
さらにその元ネタは1966年の映画『The Good, the Bad and the Ugly（邦題：続・夕陽のガンマン）』である",必要なオイルは、掘削IVを研究し、資源探査の決定を両方とも実行すれば、ヒーリングキアン（714）だけで完全に生成できます。,

Battlecry,バトルクライ,GXC / SHX / SIK / XSM / YUN,Very Hard,WtT,軍閥で、全中国と日本を征服する。,"「battle cry」は日本語で喊声（かんせい）、勝鬨（かちどき）の意
元ネタは 1941年に発表された日中戦争の記録映画 ""Kukan（苦幹）, the battle cry of China""。前半部分は中華民国以外のさまざまな民族の抗日戦線への関わりが、後半部分は前年の重慶空爆の様子が記録されている。アカデミー名誉賞を受賞し、ルーズベルトがホワイトハウスで鑑賞した。",,https://hoi4.paradoxwikis.com/Battlecry

Panda-monium,パンダモニウム,GXC / SHX / SIK / XSM / YUN,Easy,WtT,軍閥で、すべての中国の国家と同時に戦争する。,パンデモニウムとパンダ（中国の意）のダジャレ。,新疆としてプレイし、コミンテルンに加入し、中国統一戦線が結成されたら軍閥への宣戦布告を正当化する。,https://hoi4.paradoxwikis.com/Panda-monium

Make a Man Out Of You,お前を漢にしてやる,GXC / SHX / SIK / XSM / YUN,Easy,WtT,軍閥で、少なくとも100万人の人的資源を配備可能な状態にする。,"元ネタは古代中国を舞台にしたディズニー映画「ムーラン」の曲（I""ll Make a Man Out Of You）より","広西派閥として開始し、訓練または軍事顧問の雇用により軍隊経験値を5まで上げる。幅1の師団を作成し、可能な限り急いで訓練する（募集タブで最優先に設定し、最初に銃器を入手させること）。最低訓練レベルに達したら即座に配備し、通常のテンプレートに切り替える。
注：訓練可能な兵力は戦場に配置済みの兵力の75%（最低100,000）までです。つまりこの実績を達成するには、戦場に最低1,333,334の兵力を配置しておく必要があります。",

